x,y
0,58.927,134.641
1,37.709,18.953
2,48.597,30.425
3,61.04,122.765
4,83.308,7.839
5,66.163,68.965
6,-10.847,67.619
7,9.736,62.894
8,-15.641,114.679
9,-11.15,81.698
10,36.238,9.659
11,4.944,61.14
12,-0.423,68.439
13,97.572,89.062
14,84.615,74.364
15,77.356,56.538
16,51.632,92.827
17,62.642,80.941
18,77.328,16.427
19,4.101,68.413
20,22.548,93.794
21,111.922,39.055
22,18.801,35.421
23,-13.842,53.863
24,1.19,128.052
25,66.732,6.264
26,61.807,80.897
27,-11.408,102.011
28,109.647,68.985
29,99.752,95.464
30,50.569,119.819
31,110.2,49.383
32,51.813,113.626
33,117.273,61.931
34,103.918,106.783
35,57.444,126.958
36,-15.981,70.095
37,-9.98,97.691
38,42.325,132.444
39,74.056,42.356
40,120.892,47.449
41,58.388,83.091
42,107.03,27.32
43,33.646,71.77
44,33.89,45.649
45,53.678,29.232
46,74.839,45.082
47,-14.983,79.778
48,84.209,31.892
49,62.765,114.946
50,95.771,96.285
51,69.315,72.001
52,123.3,5.966
53,115.748,89.899
54,121.227,127.635
55,-1.88,26.04
56,58.153,104.89
57,-20.232,31.129
58,10.133,114.976
59,30.371,90.287
60,120.346,132.468
61,45.768,53.79
62,-6.497,69.584
63,-1.72,53.871
64,36.722,134.449
65,122.037,127.788
66,73.634,110.83
67,67.606,92.027
68,104.512,50.253
69,4.776,81.696
70,-16.708,91.981
71,58.776,60.23
72,25.748,10.618
73,75.665,118.987
74,61.846,122.589
75,85.866,68.542
76,115.892,69.601
77,29.654,112.273
78,47.558,126.663
79,69.719,115.155
80,-19.735,108.28
81,54.635,29.047
82,4.412,9.705
83,3.474,122.426
84,79.642,43.789
85,119.338,64.557
86,74.886,5.694
87,117.546,70.453
88,21.215,92.397
89,97.692,134.3
90,-5.026,107.33
91,79.336,22.675
92,122.887,97.884
93,87.173,102.895
94,76.105,87.841
95,86.893,18.972
96,12.151,108.473
97,-1.423,109.437
98,116.854,25.36
99,-6.799,126.373
100,72.725,125.883
101,109.692,118.892
102,105.465,89.129
103,111.994,50.591
104,87.128,125.819
105,107.187,126.082
106,-12.912,31.546
107,-13.409,68.359
108,9.479,17.071
109,59.295,62.537
110,86.293,122.936
111,81.88,105.187
112,48.447,119.058
113,47.188,122.178
114,6.643,123.525
115,93.774,58.187
116,-17.115,5.816
117,59.515,40.691
118,45.7,107.82
119,104.695,91.131
120,63.475,13.488
121,6.637,106.951
122,34.19,51.36
123,74.537,114.802
124,78.24,107.892
125,70.0,40.732
126,66.52,13.777
127,12.847,46.422
128,35.312,37.04
129,-1.866,128.865
130,80.834,14.12
131,-11.434,39.329
132,109.704,127.152
133,76.257,31.514
134,9.927,28.038
135,-20.921,41.665
136,62.927,74.668
137,20.862,91.551
138,-12.254,34.192
139,-5.532,117.104
140,45.037,62.272
141,-6.008,118.398
142,15.068,133.235
143,111.379,135.294
144,75.488,54.38
145,88.658,52.592
146,36.106,81.306
147,-14.096,20.787
148,69.618,38.34
149,-12.288,125.191
150,57.021,95.955
151,41.191,35.921
152,89.469,64.089
153,-15.02,110.706
154,3.305,12.452
155,36.438,30.331
156,15.413,66.013
157,74.382,58.439
158,116.158,96.796
159,107.875,90.878
160,106.656,87.564
161,51.25,93.718
162,29.683,10.195
163,-21.305,21.584
164,-21.551,125.44
165,53.044,30.298
166,96.89,7.703
167,-10.064,124.111
168,-8.03,69.041
169,21.631,112.933
170,80.152,87.615
171,31.189,133.327
172,47.931,10.036
173,66.044,45.696
174,53.221,86.571
175,40.999,40.1
176,57.044,81.086
177,59.722,72.376
178,98.621,9.059
179,32.899,12.672
180,75.269,110.98
181,54.924,109.81
182,70.702,82.984
183,-1.211,57.144
184,93.543,129.757
185,116.623,91.819
186,21.924,78.873
187,37.947,98.596
188,16.029,114.488
189,45.022,83.117
190,-14.641,125.441
191,88.215,27.989
192,90.65,76.955
193,7.202,81.154
194,61.114,85.096
195,55.197,95.992
196,104.94,96.078
197,60.664,48.947
198,115.031,26.536
199,68.752,110.672
200,101.5,65.229
201,15.796,101.624
202,28.229,35.524
203,17.623,95.596
204,65.081,57.84
205,83.187,118.28
206,77.366,90.397
207,109.575,23.494
208,27.956,92.424
209,94.521,119.911
210,93.699,53.195
211,87.145,32.478
212,124.994,85.793
213,97.451,14.066
214,37.476,74.182
215,109.486,101.186
216,119.629,47.63
217,86.921,52.892
218,67.375,125.63
219,54.725,85.191
220,41.691,104.962
221,111.085,38.151
222,39.265,28.739
223,14.12,49.615
224,-11.5,91.339
225,-17.199,24.079
226,44.45,70.028
227,85.534,40.247
228,24.387,98.487
229,-19.254,108.727
230,104.599,43.288
231,1.518,77.555
232,-15.127,32.598
233,64.503,15.965
234,32.547,37.444
235,46.344,8.295
236,-18.348,25.767
237,-5.468,125.693
238,20.833,42.752
239,123.492,118.387
240,1.591,69.722
241,-20.474,24.462
242,119.468,45.112
243,3.686,98.493
244,112.885,4.812
245,87.997,53.685
246,78.903,107.795
247,60.773,56.843
248,79.518,72.982
249,26.691,109.13
250,-4.766,22.858
251,41.028,60.392
252,-3.999,126.857
253,-6.381,86.222
254,5.516,100.313
255,-13.011,89.258
256,83.027,61.913
257,47.017,32.473
258,-11.734,66.217
259,11.865,51.108
260,55.023,130.255
261,113.318,25.211
262,-18.364,43.821
263,71.413,89.281
264,11.467,18.679
265,37.925,119.838
266,77.36,12.167
267,68.058,122.441
268,73.587,95.741
269,74.005,130.159
270,6.054,35.334
271,99.573,94.922
272,86.879,81.769
273,124.432,93.252
274,21.14,83.582
275,56.347,17.191
276,40.084,114.247
277,17.011,110.168
278,8.662,57.469
279,88.384,5.253
280,120.871,112.668
281,86.707,58.667
282,103.011,112.951
283,89.275,99.459
284,63.971,91.715
285,7.348,108.953
286,120.501,129.72
287,34.481,101.25
288,6.174,69.256
289,26.597,12.073
290,101.058,39.253
291,45.656,24.303
292,60.856,127.707
293,31.406,81.506
294,122.603,91.891
295,30.267,19.407
296,112.528,52.191
297,-7.237,93.533
298,26.652,91.831
299,116.476,97.527
300,111.999,65.657
301,36.128,26.136
302,95.869,122.05
303,10.209,32.172
304,11.906,95.262
305,87.683,53.745
306,33.714,48.209
307,116.711,105.92
308,91.261,24.959
309,40.134,30.97
310,-6.813,28.954
311,99.549,55.646
312,43.7,13.543
313,-19.362,66.093
314,-0.468,120.002
315,78.56,38.628
316,78.294,9.566
317,11.721,20.939
318,39.003,62.148
319,66.348,39.453
320,123.363,116.475
321,117.611,80.861
322,16.923,116.548
323,105.03,23.229
324,56.382,58.113
325,81.105,106.196
326,52.258,35.866
327,85.826,63.0
328,21.467,54.431
329,108.662,100.504
330,88.268,43.401
331,19.456,96.491
332,-0.703,89.233
333,19.295,123.875
334,101.263,134.949
335,-13.582,75.826
336,22.177,7.281
337,90.743,32.204
338,70.603,92.741
339,-2.123,59.372
340,89.243,7.059
341,7.461,65.149
342,49.856,130.142
343,71.737,105.75
344,64.803,48.498
345,100.374,98.75
346,80.295,42.002
347,5.314,21.493
348,36.968,92.793
349,27.522,83.075
350,-3.246,39.725
351,54.829,66.88
352,64.641,43.266
353,47.49,18.527
354,19.883,53.895
355,43.601,27.079
356,65.519,22.69
357,24.945,85.757
358,10.321,35.984
359,116.268,12.309
360,84.811,104.636
361,107.647,13.531
362,12.092,64.735
363,44.982,29.427
364,-14.703,116.621
365,17.212,33.071
366,112.106,37.741
367,-13.935,36.463
368,81.983,115.833
369,47.95,37.32
370,-20.211,42.652
371,86.209,27.919
372,14.109,4.854
373,113.773,6.026
374,53.313,82.145
375,85.709,111.375
376,-16.073,52.93
377,81.125,15.736
378,56.347,7.038
379,75.991,11.679
380,8.237,48.084
381,52.263,85.915
382,105.171,83.861
383,11.95,87.184
384,60.56,121.877
385,81.734,118.866
386,73.775,61.128
387,-17.468,64.153
388,67.493,51.007
389,-3.997,135.109
390,96.816,69.257
391,22.891,7.78
